"id","district_id","locale","created_at","updated_at","name"
633,633,"da","2018-08-30 08:03:31.489237","2018-08-30 08:03:31.489237","SK - Slovakia"
634,634,"da","2018-08-30 08:05:06.798307","2018-08-30 08:05:06.798307","HU - Eger"
642,642,"da","2018-08-31 05:32:47.159036","2018-08-31 05:32:47.159036","LB - Bekaa Valley"
646,646,"da","2018-09-20 09:14:23.587177","2018-09-20 09:14:23.587177","MX - Ensenada"
651,651,"da","2018-09-21 12:29:25.882756","2018-09-21 12:29:25.882756","PT - Colares"
655,655,"da","2018-09-24 10:45:27.872348","2018-09-24 10:45:53.009934","RO - Romania"
660,660,"da","2018-09-24 13:52:51.922431","2018-09-24 13:52:51.922431","GE - Racha-Lechkhumi"
661,661,"da","2018-09-24 14:05:21.197584","2018-09-24 14:05:21.197584","SE - Sweden"
441,441,"da","2017-12-11 11:00:37.681974","2018-08-29 11:48:54.628017","ES - Navarra"
364,364,"da","2017-03-01 11:05:49.220925","2018-08-29 11:55:00.713024","FR - Jura"
481,481,"da","2018-02-27 17:54:03.297623","2018-08-29 11:23:12.427451","DE - Ahr"
390,390,"da","2017-03-01 11:05:52.119622","2018-08-29 11:25:17.965791","ES - Castilla y León"
462,462,"da","2018-01-23 05:02:46.907745","2018-08-29 11:30:58.14056","IT - Trentino-Alto Adige"
461,461,"da","2018-01-23 05:02:44.70585","2018-08-29 11:36:55.475012","US - Washington"
496,496,"da","2018-06-22 13:16:11.554771","2018-08-29 11:42:33.963925","FR - Savoie"
509,509,"da","2018-08-10 17:49:55.323774","2018-08-29 11:46:55.546148","CA - Ontario"
471,471,"da","2018-02-01 13:08:01.351859","2018-08-29 11:59:13.329753","ES - Galicia"
513,513,"da","2018-08-16 16:29:53.99715","2018-08-29 12:06:45.913364","IT - Aosta Valley"
527,527,"da","2018-08-29 12:33:58.921261","2018-08-29 12:33:58.921261","AT - Carnuntum"
528,528,"da","2018-08-29 12:34:19.382482","2018-08-29 12:34:19.382482","AR - San Juan"
439,439,"da","2017-12-11 08:22:50.535491","2018-08-29 12:12:27.916494","AT - Burgenland"
531,531,"da","2018-08-29 12:37:22.500459","2018-08-29 12:37:22.500459","AT - Neusiedlersee"
536,536,"da","2018-08-29 12:38:46.550833","2018-08-29 12:38:46.550833","AT - Vienna"
548,548,"da","2018-08-29 13:06:03.106069","2018-08-29 13:06:03.106069","ZA - Orange River"
550,550,"da","2018-08-29 13:41:33.919468","2018-08-29 13:41:33.919468","CA - British Columbia"
551,551,"da","2018-08-29 13:41:48.971151","2018-08-29 13:41:48.971151","CA - Manitoba"
561,561,"da","2018-08-29 13:52:53.093517","2018-08-29 13:52:53.093517","CL - Casablanca Valley"
562,562,"da","2018-08-29 13:53:45.911207","2018-08-29 13:53:45.911207","PT - Algarve"
