Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
9379,"Bianco ""Where Dreams have no end""",3602,,Italy,Friuli-Venezia Giulia,White wine,a0F1X0000005aboUAA
3265,Extra Brut Blanc de Blancs Grand Cru,1576,,France,Champagne,Sparkling wine,a0F1X0000005aWsUAI
7611,"Gevrey Chambertin ""La Justice""",464,,France,Burgundy,Red wine,a0F1X0000005aULUAY
7610,"Gevrey Chambertin ""Clos Tamisot""",464,,France,Burgundy,Red wine,a0F1X0000005aULUAY
10200,"Pinot Gris ""Heimbourg""",235,,France,Alsace,White wine,a0F1X0000005aVTUAY
1777,"Grüner Veltliner ""Von den Terrassen""",923,,Austria,Wagram,Red wine,a0F1X0000005ac9UAA
1812,"Chateauneuf-du-Pape ""Sanctus Sanctorum""",940,,France,Rhone,Red wine,a0F1X0000005aMrUAI
3266,Champagne Cuvée Micheline Tanneux,1577,,France,Champagne,Sparkling wine,a0F1X0000005aFGUAY
7620,"Pinot Noir ""Bloom's Field""",3029,,United States,California,Red wine,a0F1X0000005aQYUAY
1954,"Hermitage Rouge ""Les Bessards""",1014,,France,Rhone,Red wine,a0F1X0000005aOPUAY
7619,"Pinot Noir ""Sta. Rita Hills""",3029,,United States,California,Red wine,a0F1X0000005aQYUAY
3268,"Riesling Trocken ""Brauneberger Juffer Sonnenuhr""",108,,Germany,Mosel,White wine,a0F1X0000005aYAUAY
7574,"Barolo ""Boscareto""",1060,,Italy,Piemonte,Red wine,a0F1X0000005aXCUAY
7618,Chianti Classico Gran Selezione,1143,,Italy,Tuscany,Red wine,a0F1X0000005aAOUAY
2261,"Barolo ""Prapò""",376,,Italy,Piemonte,Red wine,a0F1X0000005ao2UAA
7622,"Gevrey-Chambertin ""Pressonnier""",3030,,France,Burgundy,Red wine,a0F1X0000005aTjUAI
2260,"Barolo ""Vigna del Gris""",363,,Italy,Piemonte,Red wine,a0F1X0000005aNMUAY
7625,"Mercurey 1er Cru ""Clos des Montaigus""",1049,,France,Burgundy,Red wine,a0F1X0000005a8jUAA
7626,"Saint-Romain ""Sous Roche""",2850,,France,Burgundy,Red wine,a0F1X0000005aQFUAY
2187,Lyonnat ,1117,,France,Bordeaux,Red wine,a0F1X0000005aKCUAY
2080,Médoc,1070,,France,Bordeaux,Red wine,a0F1X0000005aLAUAY
2085,Beychevelle,1073,,France,Bordeaux,Red wine,a0F1X0000005aFfUAI
10201,Testflaske No. 1,3885,,Denmark,Denmark,Others,a0F1X0000005aoKUAQ
7638,"Vosne-Romanée ""Les Champs Perdrix""",3350,,France,Burgundy,Red wine,a0F1X0000005aY5UAI
7639,"Chambolle-Musigny ""Les Herbues""",3350,,France,Burgundy,Red wine,a0F1X0000005aY5UAI
7656,"Mourvèdre ""Clarendon - Liandra""",1459,,Australia,South Australia,Red wine,a0F1X0000005aMTUAY
7621,"Pinot Noir ""La Cote""",3029,,United States,California,Red wine,a0F1X0000005aQYUAY
7641,"Barolo ""Pajana""",1148,,Italy,Piemonte,Red wine,a0F1X0000005aVUUAY
2223,Montiano,381,,Italy,Lazio,Red wine,a0F1X0000005aWrUAI
7632,"Nuits-Saint-Georges 1er Cru ""Aux Murgers""",85,,France,Burgundy,Red wine,a0F1X0000005aTuUAI
7645,"Barolo Riserva ""Lazzarito""",1218,,Italy,Piemonte,Red wine,a0F1X0000005aWjUAI
7651,"Bourgogne Rouge ""Couvent des Jacobins""",265,,France,Burgundy,Red wine,a0F1X0000005afGUAQ
2076,"Satrapezo ""Saperavi""",1066,,Georgia,Kakheti,Red wine,a0F1X0000005ag6UAA
2147,Castera,1104,,France,Bordeaux,Red wine,a0F1X0000005aG2UAI
2188,Chianti Superiore,1143,,Italy,Tuscany,Red wine,a0F1X0000005aAOUAY
2228,"Malbec ""Lujan de Cuyo""",1160,,Argentina,Mendoza,Red wine,a0F1X0000005aXNUAY
7650,Cruzeau,2564,,France,Bordeaux,Red wine,a0F1X0000005aGqUAI
7630,"Vosne-Romanée ""Clos de la Fontaine""",2042,,France,Burgundy,Red wine,a0F1X0000005aOmUAI
2146,"La Cardonne ""Réserve Spéciale""",3894,,France,Bordeaux,Red wine,a0F1X0000005aIiUAI
2517,"Vino Nobile di Montepulciano ""Asinone""",362,,Italy,Tuscany,Red wine,a0F1X0000005alAUAQ
6365,"Riesling Auslese ""Wehlener Sonnenuhr""",716,,Germany,Mosel,White wine,a0F1X0000005ac4UAA
2373,"Barolo ""Vigneto Rocche""",1220,,Italy,Piemonte,Red wine,a0F1X0000005agtUAA
2316,"Chateauneuf-du-Pape Rouge ""Cuvée Réservée""",53,,France,Rhone,Red wine,a0F1X0000005aRxUAI
2312,"Nuits-Saint-Georges 1er Cru ""Les Procès""",1188,,France,Burgundy,Red wine,a0F1X0000005aOCUAY
7669,"Isola dei Nuraghi ""Turriga""",3040,,Italy,Sardinia,Red wine,a0F1X0000005a9kUAA
7680,"Merlot ""Punta Greca""",3041,,Croatia,Istria,Red wine,a0F1X0000005alTUAQ
7681,"Merlot ""Silente""",3042,,Croatia,Istria,Red wine,a0F1X0000005aqDUAQ
2335,"Cabernet Sauvignon ""Artemis""",1198,,United States,California,Red wine,a0F1X0000005aozUAA
2337,"Nuits-Saint-Georges ""Au Bas De Combe""",1200,,France,Burgundy,Red wine,a0F1X0000005aT4UAI
7668,"Barbera d'Alba Superiore ""Marun""",2407,,Italy,Piemonte,Red wine,a0F1X0000005agnUAA
7666,"Barbaresco ""Albesani - Santo Stefano""",1150,,Italy,Piemonte,Red wine,a0F1X0000005aE7UAI
3871,"Nebbiolo d'Alba ""Valmaggione""",882,,Italy,Piemonte,Red wine,a0F1X0000005aCCUAY
