Id	Name	ProducerId	Appellation	Country	Region	WineType
6413	Meursault "Les Tessons"	1682		France	Burgundy	White wine
8433	Ruby Vintage Port	1528		Portugal	Douro	Port
1201	Klein Steenberg Red Blend	679		South Africa	Western Cape	Red wine
7165	Vintage Rosé	1187		France	Champagne	Sparkling wine
10485	Agave	3979		Italy	Tuscany	Red wine
2029	Beaune 1er Cru "Cuvée Rousseau-Deslandes"	3272		France	Burgundy	Red wine
2180	Marquis d'Alesme	1138		France	Bordeaux	Red wine
8513	Meursault 1er Cru "Les Charmes"	3324		France	Burgundy	White wine
5195	Cornas "La Geynale"	368		France	Rhone	Red wine
4387	Perricone "Acamante"	2002		Italy	Sicily	Red wine
10029	Morellino di Scansano "Dù Galli"	3823		Italy	Tuscany	Red wine
3725	Riesling Grand Cru "Kirchberg de Ribeauvillé"	1748		France	Alsace	White wine
1088	Riesling Spätlese "Kranklay"	618		Germany	Mosel	White wine
7211	d'Olivier	2940		France	Bordeaux	Red wine
456	Riesling "Clos Häuserer"	235		France	Alsace	White wine
4446	Muscat de Rivesaltes	2034		France	Languedoc-Roussillon	White wine
10053	Shiraz "Zippy's Block"	1501		Australia	South Australia	Red wine
7750	Riesling Auslese "Erdener Prälat - Versteigerung"	3096		Germany	Mosel	White wine
4850	Pinot Noir "Saint Georges"	2174		United States	California	Red wine
6321	Brunello di Montalcino "Prime Donne"	470		Italy	Tuscany	Red wine
1433	Clos de Vougeot	274		France	Burgundy	Red wine
8519	Vin de Savoie "Mont Rouge"	3330		France	Savoie	Red wine
3667	Il Migliara Cortona	1723		Italy	Tuscany	Red wine
9674	Savigny-Les-Beaune 1er Cru "La Dominode"	3689		France	Burgundy	Red wine
7855	Shiraz "Carnival Of Love"	75		Australia	South Australia	Red wine
2494	Riesling Trocken "Abts Erde"	95		Germany	Rheinhessen	White wine
5272	Pinot Noir "Elizabeth's Reserve"	2279		United States	Oregon	Red wine
9394	Volnay 1er Cru "Fremiets"	370		France	Burgundy	Red wine
8120	Chardonnay "Santa Cruz Mountains"	3228		United States	California	White wine
3668	Marquis de Seynac	1724		France	South West France	Sweet wine
6160	Vieux Champs	2581		France	Bordeaux	Red wine
3675	Sancerre "Les Quarterons"	1728		France	Loire	White wine
3539	Rosso "Il Drago e Le Otto Colombe"	470		Italy	Tuscany	Red wine
10468	Bouscaut	3970		France	Bordeaux	Red wine
6458	Chateauneuf-du-Pape Réserve	2712		France	Rhone	Red wine
259	Cavas de Weinert Gran Vino "Bau"	3187		Argentina	Mendoza	Red wine
1827	RIesling GG "Brunnenhauschen"	946		Germany	Rheinhessen	White wine
3104	Vintage Grand Cru "Vauzelle Terme"	756		France	Champagne	Sparkling wine
5939	Colmant	2506		South Africa	Western Cape	Sparkling wine
6716	Barolo "Brunate"	444		Italy	Piemonte	Red wine
5932	Pinot Nero	2498		Italy	Sicily	Red wine
8238	Barolo "Liste"	120		Italy	Piemonte	Red wine
9867	Barbera d'Asti	565		Italy	Piemonte	Red wine
8678	Nuits-Saint-Georges 1er Cru "Aux Boudots"	85		France	Burgundy	Red wine
6978	Riesling Spätlese "Erdener Treppchen"	618		Germany	Mosel	White wine
10395	Dolcetto d'Alba	877		Italy	Piemonte	Red wine
10319	Ruby Vintage Port "Cuvée for Princess Benedikte of Denmark"	1165		Portugal	Douro	Port
8528	Rosso Verona "Canaja"	3337		Italy	Veneto	Red wine
1608	Vintage Grand Cru "Special Club"	841		France	Champagne	Sparkling wine
8010	Greta	3185		Italy	Piemonte	Red wine
4325	Barolo "Vignarionda"	1570		Italy	Piemonte	Red wine
7212	Bel Air Fonroque	2941		France	Bordeaux	Red wine
1144	Grenache "The Experiment"	650		Australia	South Australia	Red wine
8074	Mahâris	965		Italy	Sicily	Red wine
4987	Barbera d'Alba	1668		Italy	Piemonte	Red wine
9693	Nuits-Saints-Georges "Vieilles Vignes"	1199		France	Burgundy	Red wine
8886	Viré Clessé "Cuvée E. J. Thevenet"	3424		France	Burgundy	White wine
2354	Rioja Gran Reserva "904"	837		Spain	Rioja	Red wine
577	Troublemaker	322		United States	California	Red wine
2100	Vintage Extra Brut 1er Cru "Signature"	2618		France	Champagne	Sparkling wine
5926	Etnarosso	2498		Italy	Sicily	Red wine
9644	Riesling Grand Cru "Hengst"	3680		France	Alsace	White wine
6003	Rouge "Cuvée Exceptionnelle"	2525		France	Bordeaux	Red wine
2045	Langhe "Sito Moresco"	147		Italy	Piemonte	Red wine
8747	Chateauneuf-du-Pape "Cuvée Prestige"	3387		France	Rhone	Red wine
7233	Brunello di Montalcino "Pieve Santa Restituta"	147		Italy	Tuscany	Red wine
6280	Syrah "Labels"	2170		United States	California	Red wine
2130	Cabernet Sauvignon "Mount Veeder"	1109		United States	California	Red wine
719	Penedes Gran Reserva Especial "Esperit de VI"	424		Spain	Catalonia	Red wine
9952	G2 Rosé	3782		France	Languedoc-Roussillon	Rose
7714	110 Oyster	3069		Italy	Campania	White wine
4875	Vintage Blanc de Blancs Grand Cru "Cuvée Charlemagne - Les Coulmets"	490		France	Champagne	Sparkling wine
115	Pagos Viejos "Old Vineyard Selection"	39		Spain	Rioja	Red wine
1876	Saia	965		Italy	Sicily	Red wine
10434	Morey-Saint-Denis 1er Cru "Cuvée des Alouettes"	1912		France	Burgundy	Red wine
3712	Riesling GG "Berg Roseneck"	106		Germany	Rheingau	White wine
10195	Cinsaut "Morkel"	432		South Africa	Western Cape	Red wine
9729	Syrah	3712		United States	California	Red wine
3915	Riesling Spätlese "Feinherb"	1837		Germany	Mosel	White wine
1728	Vosne-Romanée	895		France	Burgundy	Red wine
9919	Rosé "La Réserva"	3768		France	Provence	Rose
9858	Riesling Trocken "Berg Rottland"	106		Germany	Rheingau	White wine
7799	Vintage Grand Cru "Cuvée des Sires"	700		France	Champagne	Sparkling wine
1967	Chorey-Les-Beaune	1805		France	Burgundy	Red wine
8995	La Croix St. Georges	3227		France	Bordeaux	Red wine
135	Le Haut-Médoc de Giscours	1252		France	Bordeaux	Red wine
1146	Cabernet Sauvignon "Old Mission San Miguel"	651		United States	California	Red wine
9246	Rosé "iirrrésistible!"	3552		France	Provence	Rose
463	Riesling Grand Cru "Rosacker"	267		France	Alsace	White wine
6152	Vosne-Romanée 1er Cru "Les Chaumes - Vieilles Vignes"	1958		France	Burgundy	Red wine
10024	Dassault	3822		France	Bordeaux	Red wine
2639	Vintage	1328		France	Champagne	Sparkling wine
